chr	TSS	Gene	GWAS	Effect	PIP	FSR
3	46919236	PTH1R	pgc_scz	1.54 (0.4)	1	0.02
3	46919236	PTH1R	ukbb_neuroticism	-0.52 (0.14)	1	0.03
14	39901704	FBXO33	pgc_scz	0.71 (0.17)	1	0.02
14	65016620	PPP1R36	pgc_scz	-0.18 (0.05)	1	0.03
14	65409531	GPX2	pgc_scz	-1.03 (0.12)	1	0
14	65409531	GPX2	pgc_adhd	1.57 (0.1)	1	0
14	65409531	GPX2	pgc_asd	-0.68 (0.06)	1	0
14	65409531	GPX2	pgc_mdd	-0.52 (0.05)	1	0
14	65409531	GPX2	ukbb_ad_pat	-5.78 (0.25)	1	0
14	65409531	GPX2	ukbb_moodswings	1.5 (0.12)	1	0
8	99076539	C8orf47	pgc_scz	-0.32 (0.08)	1	0.02
3	93747454	STX19	pgc_scz	1.05 (0.33)	1	0.04
3	93747454	STX19	pgc_ptsd_civ_ea	-0.2 (0.05)	1	0.02
3	93747454	STX19	ukbb_ad_pat	-0.63 (0.15)	1	0.02
1	247171395	ZNF695	pgc_scz	-0.11 (0.04)	1	0.04
1	247171395	ZNF695	pgc_asd	-0.18 (0.05)	1	0.02
9	77112281	RORB	pgc_scz	-0.7 (0.1)	1	0.01
14	65453438	FNTB	pgc_scz	3.26 (0.36)	1	0
14	65453438	FNTB	pgc_ocd	1.66 (0.34)	1	0.02
7	120965421	WNT16	pgc_adhd	-0.44 (0.09)	1	0.02
7	115927434	CAV2	pgc_adhd	-0.11 (0.03)	1	0.02
17	42385927	RUNDC3A	pgc_adhd	0.14 (0.02)	1	0.01
17	42385927	RUNDC3A	pgc_asd	-3.77 (0.55)	1	0.01
7	72742085	TRIM50	pgc_adhd	0.18 (0.06)	1	0.05
7	72742085	TRIM50	ukbb_neuroticism	-0.09 (0.02)	1	0.02
1	46669006	LURAP1	pgc_adhd	1.25 (0.24)	1	0.01
4	100140694	ADH6	pgc_adhd	0.23 (0.06)	1	0.02
3	124672663	MUC13	pgc_adhd	-0.34 (0.12)	1	0.05
1	75139422	C1orf173	pgc_adhd	0.31 (0.07)	1	0.02
1	75139422	C1orf173	ukbb_neuroticism	-0.22 (0.06)	1	0.02
1	75139422	C1orf173	ukbb_moodswings	-0.49 (0.12)	1	0.02
3	126373998	TXNRD3	pgc_adhd	-0.32 (0.12)	1	0.05
1	104104379	AMY2B	pgc_adhd	-0.51 (0.11)	1	0.02
1	104104379	AMY2B	ukbb_ad_pat	-0.59 (0.21)	1	0.05
3	52529354	STAB1	pgc_asd	0.07 (0.02)	1	0.03
3	52529354	STAB1	pgc_ptsd_civ_ea	0.89 (0.12)	1	0.01
17	27333458	SEZ6	pgc_asd	0.2 (0.04)	1	0.01
4	1795034	FGFR3	pgc_asd	0.17 (0.05)	1	0.04
15	51973550	SCG3	pgc_asd	0.54 (0.06)	1	0
17	46681494	HOXB6	pgc_asd	2.47 (0.24)	1	0
17	46681494	HOXB6	ukbb_ad_mat	3.23 (0.23)	1	0
17	46681494	HOXB6	ukbb_neuroticism	-0.46 (0.07)	1	0.01
17	27045447	RAB34	pgc_asd	0.36 (0.09)	1	0.02
17	59529765	TBX4	pgc_asd	-0.26 (0.09)	1	0.04
19	22193751	ZNF208	pgc_asd	1.29 (0.16)	1	0.01
19	22193751	ZNF208	pgc_mdd	-0.39 (0.08)	1	0.02
19	22193751	ZNF208	pgc_ptsd_civ_ea	-0.82 (0.15)	1	0.01
19	22193751	ZNF208	ukbb_ad_pat	0.89 (0.1)	1	0
19	22193751	ZNF208	ukbb_neuroticism	-1.11 (0.13)	1	0
19	22193751	ZNF208	ukbb_moodswings	-0.69 (0.09)	1	0.01
11	57414267	YPEL4	pgc_asd	0.49 (0.17)	1	0.04
11	57414267	YPEL4	ukbb_moodswings	0.72 (0.15)	1	0.02
7	117514193	CTTNBP2	pgc_ocd	0.33 (0.12)	1	0.05
14	39578850	SEC23A	pgc_ocd	0.86 (0.17)	1	0.01
14	39734488	CTAGE5	pgc_ocd	-0.52 (0.17)	1	0.04
16	29824311	PRRT2	pgc_ocd	0.1 (0.03)	1	0.03
17	58227297	CA4	pgc_ocd	-0.12 (0.04)	1	0.05
6	30080883	TRIM31	pgc_ocd	1.94 (0.34)	1	0.01
6	32006042	CYP21A2	pgc_ocd	0.58 (0.2)	1	0.04
5	140864741	PCDHGC4	pgc_ocd	-0.22 (0.08)	1	0.05
5	42423879	GHR	pgc_mdd	-0.18 (0.06)	1	0.04
19	36346763	KIRREL2	pgc_mdd	-0.13 (0.04)	1	0.03
3	125916837	ALDH1L1	pgc_mdd	0.21 (0.07)	1	0.04
8	110988076	KCNV1	pgc_mdd	0.49 (0.15)	1	0.04
5	95769847	PCSK1	pgc_mdd	-0.45 (0.07)	1	0.01
8	7752151	DEFB4A	pgc_ptsd_civ_ea	-0.1 (0.04)	1	0.04
8	7274385	DEFB4B	pgc_ptsd_civ_ea	0.13 (0.04)	1	0.04
13	19755992	TUBA3C	pgc_ptsd_civ_ea	-0.24 (0.04)	1	0.01
13	19755992	TUBA3C	ukbb_neuroticism	-0.18 (0.04)	1	0.02
6	100054606	PRDM13	ukbb_ad_mat	0.27 (0.06)	1	0.02
6	100054606	PRDM13	ukbb_ad_pat	-0.26 (0.06)	1	0.02
3	43020759	FAM198A	ukbb_ad_mat	0.34 (0.06)	1	0.01
7	89796904	STEAP2	ukbb_ad_mat	-0.58 (0.17)	1	0.03
3	51741086	GRM2	ukbb_ad_mat	-0.31 (0.06)	1	0.02
3	51741086	GRM2	ukbb_ad_pat	-0.83 (0.11)	1	0.01
11	47470730	RAPSN	ukbb_ad_mat	-2.41 (0.4)	1	0.01
5	43515247	C5orf34	ukbb_ad_mat	1.09 (0.26)	1	0.02
4	151503077	MAB21L2	ukbb_ad_mat	-0.15 (0.05)	1	0.04
3	50192478	SEMA3F	ukbb_ad_pat	-0.34 (0.08)	1	0.02
8	91107703	CALB1	ukbb_ad_pat	-0.33 (0.06)	1	0.01
3	49170551	LAMB2	ukbb_ad_pat	0.64 (0.12)	1	0.01
14	47121028	RPL10L	ukbb_neuroticism	0.59 (0.14)	1	0.02
